"path","category","purpose","recommended_action","reason"
"backend\data\kb\20260209120700_uat_kb_note.json","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209120700_uat_kb_note.pdf","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209120700_uat_kb_note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209120736_uat_kb_note.json","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209120736_uat_kb_note.pdf","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209120736_uat_kb_note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209121043_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209121103_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260209130407_f001_retest.json","data","knowledge-base data","review_needed","could be runtime data or fixtures"
"backend\data\kb\20260209130418_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210021134_ru_d2_01_kb_note_20260210_101134.json","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210021134_ru_d2_01_kb_note_20260210_101134.pdf","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210021134_ru_d2_01_kb_note_20260210_101134.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210021151_tmp_json_debug.json","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210021228_ru_d2_01_kb_note_20260210_101228.json","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210021228_ru_d2_01_kb_note_20260210_101228.pdf","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210021228_ru_d2_01_kb_note_20260210_101228.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210033813_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210034838_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210040517_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210081700_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210081816_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210081929_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210082354_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210082659_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\data\kb\20260210083553_kb-note.txt","runtime_artifact","KB upload/search evidence artifact","archive_or_delete","runtime generated evidence, duplicated with .runtime in many cases"
"backend\demo_process_management.bat","backend_script","backend windows helper script","keep_or_archive","keep if team uses cmd workflows"
"backend\deploy-with-rollback.cmd","backend_script","backend windows helper script","keep_or_archive","keep if team uses cmd workflows"
"backend\Dockerfile","backend_config","backend dependency/runtime config","keep","needed for backend setup/deploy"
"backend\ingest_market_data.py","backend_script","backend runner/ops script","keep","used for local ops and data tasks"
"backend\kb-monitor.cmd","backend_script","backend windows helper script","keep_or_archive","keep if team uses cmd workflows"
"backend\kb-monthly-checkpoint.cmd","backend_script","backend windows helper script","keep_or_archive","keep if team uses cmd workflows"
"backend\kb-review.cmd","backend_script","backend windows helper script","keep_or_archive","keep if team uses cmd workflows"
"backend\NUL","invalid_file","invalid placeholder file","can_delete_now","accidental file; not used by app"
"backend\release-gate.cmd","backend_script","backend windows helper script","keep_or_archive","keep if team uses cmd workflows"
"backend\requirements-minimal.txt","backend_config","backend dependency/runtime config","keep","needed for backend setup/deploy"
"backend\requirements.txt","backend_config","backend dependency/runtime config","keep","needed for backend setup/deploy"
"backend\rollback-drill.cmd","backend_script","backend windows helper script","keep_or_archive","keep if team uses cmd workflows"
"backend\run_scheduler.py","backend_script","backend runner/ops script","keep","used for local ops and data tasks"
"backend\scripts\__pycache__\check_agent_health.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\deploy_with_rollback.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\deploy_with_rollback.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\kb_benchmark.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\kb_benchmark.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\kb_benchmark_monitor.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\kb_benchmark_monitor.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\kb_benchmark_monthly_checkpoint.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\kb_benchmark_monthly_checkpoint.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\kb_benchmark_review.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\kb_benchmark_review.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\release_gate.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\release_gate.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\rollback_drill.cpython-311.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\__pycache__\rollback_drill.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\scripts\check_agent_health.py","backend_script","operations/release script","keep","automation script"
"backend\scripts\deploy_with_rollback.py","backend_script","operations/release script","keep","automation script"
"backend\scripts\kb_benchmark.py","backend_script","operations/release script","keep","automation script"
"backend\scripts\kb_benchmark_monitor.py","backend_script","operations/release script","keep","automation script"
"backend\scripts\kb_benchmark_monthly_checkpoint.py","backend_script","operations/release script","keep","automation script"
"backend\scripts\kb_benchmark_review.py","backend_script","operations/release script","keep","automation script"
"backend\scripts\release_gate.py","backend_script","operations/release script","keep","automation script"
"backend\scripts\rollback_drill.py","backend_script","operations/release script","keep","automation script"
"backend\SERVER_MANAGEMENT.md","backend_doc","backend operation document","keep_or_archive","retain one main guide; archive overlap"
"backend\start-backend.cmd","backend_script","backend windows helper script","keep_or_archive","keep if team uses cmd workflows"
"backend\start-scheduler.cmd","backend_script","backend windows helper script","keep_or_archive","keep if team uses cmd workflows"
"backend\start_server.py","backend_script","backend runner/ops script","keep","used for local ops and data tasks"
"backend\stocktracker.db","runtime_db","local sqlite database","archive_or_delete","runtime data, can regenerate"
"backend\stop_server.py","backend_script","backend runner/ops script","keep","used for local ops and data tasks"
"backend\tests\__pycache__\conftest.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\conftest.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\conftest.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_agent_and_versions_api.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_agent_and_versions_api.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_agent_and_versions_api.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_agent_startup_gate.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_agent_startup_gate.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_ai_quality.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_ai_quality.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_analytics_api.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_analytics_api.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_backtest_metrics_calibration.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_backtest_metrics_calibration.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_deploy_and_drill.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_deploy_and_drill.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_kb_benchmark.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_kb_benchmark.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_kb_benchmark_monitor.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_kb_benchmark_monitor.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_kb_benchmark_monthly_checkpoint.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_kb_benchmark_monthly_checkpoint.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_kb_benchmark_review.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_kb_benchmark_review.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_knowledge_base_api.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_knowledge_base_api.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_main_logging.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_main_logging.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_market_data_api.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_market_data_api.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_market_data_providers.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_market_data_providers.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_portfolio_holding_api.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_portfolio_holding_api.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_quotes_api.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_quotes_api.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_release_gate.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_release_gate.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_release_gate.cpython-314.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_scheduler.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_scheduler.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_security_config.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_security_config.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_strategy_backtest_api.cpython-311-pytest-7.4.4.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\__pycache__\test_strategy_backtest_api.cpython-314-pytest-9.0.2.pyc","cache","python bytecode cache","can_delete_now","auto-generated by python runtime"
"backend\tests\conftest.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_agent_and_versions_api.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_agent_startup_gate.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_ai_quality.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_analytics_api.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_backtest_metrics_calibration.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_deploy_and_drill.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_kb_benchmark.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_kb_benchmark_monitor.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_kb_benchmark_monthly_checkpoint.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_kb_benchmark_review.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_knowledge_base_api.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_main_logging.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_market_data_api.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_market_data_providers.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_portfolio_holding_api.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_quotes_api.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_release_gate.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_scheduler.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_security_config.py","backend_test","backend test suite","keep","regression protection"
"backend\tests\test_strategy_backtest_api.py","backend_test","backend test suite","keep","regression protection"
"backend\USAGE_GUIDE_CN.md","backend_doc","backend operation document","keep_or_archive","retain one main guide; archive overlap"
"docker-compose.yml","root_config","root configuration/launcher","keep","project-level config/bootstrap"
"docs\HANDOFF_TO_CODEX_2026-02-10.md","doc_handover","handover record for current session","keep","current primary handover"
"docs\Handover\CLAUDE_CODE_HANDOVER_2026-02-10.md","doc_handover","handover record for previous session","archive","historical handover, keep in archive/handover"
"docs\Ops\KB_Monthly_Checkpoint_Template.md","doc_ops","operations runbook/checklist/template","keep","operational governance documents"
"docs\Ops\KB_Monthly_Checkpoints\2026-02_prod.md","doc_ops_record","monthly checkpoint record","keep","audit trail record"
"docs\Ops\KB_Threshold_Change_Template.md","doc_ops","operations runbook/checklist/template","keep","operational governance documents"
"docs\Ops\KB_Threshold_Changes\KB-TC-20260209-01.md","doc_ops_record","ops change record","keep","audit trail record"
"docs\Ops\KB_Weekly_Review_Checklist.md","doc_ops","operations runbook/checklist/template","keep","operational governance documents"
"docs\Ops\Release_Governance.md","doc_ops","operations runbook/checklist/template","keep","operational governance documents"
"docs\Progress\Blueprint.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Current_Backlog_2026-02-07.md","doc_progress","daily backlog snapshot","merge_archive","merge into one latest backlog then archive historical copies"
"docs\Progress\Current_Backlog_2026-02-08.md","doc_progress","daily backlog snapshot","merge_archive","merge into one latest backlog then archive historical copies"
"docs\Progress\Current_Backlog_2026-02-09.md","doc_progress","daily backlog snapshot","merge_archive","merge into one latest backlog then archive historical copies"
"docs\Progress\Div_Progress_Goal1.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Div_Todo_Goal2.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Master_Plan.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Master_Progress.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\ProjectCleanerSkill.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\README.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Stop_Doing.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\Progress\Update_Workflow.md","doc_progress","project progress/process document","merge_review","multiple overlapping progress docs can be consolidated"
"docs\QA\Acceptance_Checklist_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\Agent_Allocation_Fix_Summary.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\Agent_LLM_Readiness_Checklist_2026-02-10.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\AI_Features_Testing_Analysis_2026-02-10.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\P0_AI_Quality_Tests_Summary.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\P1_AI_Benchmark_Infrastructure_Summary.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\P2_Benchmark_Baseline_Summary.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_BL-002_to_BL-007.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_FullChain_Checklist_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_FullChain_Defects_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_FullChain_Execution_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_KB_004_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_KB_005_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_KB_006_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_KB_007_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_OPS_001_004_2026-02-09.md","doc_qa","QA/UAT report","keep_or_archive","retain latest summaries; archive older detailed case docs if cluttered"
"docs\QA\UAT_RealUsage_Log_2026-02.md","doc_log","living UAT execution log","keep","current active log document"
"docs\QA\UAT_TEMPLATE.md","doc_template","UAT template used as reusable skeleton","keep","baseline template for future UAT"
"docs\Runbook.md","doc","project documentation","keep_review","review overlap with other docs"
"frontend\.env","frontend_env","frontend env config","merge_review","if identical, keep one template and one local file"
"frontend\.env.example","frontend_env","frontend env config","merge_review","if identical, keep one template and one local file"
"frontend\.gitignore","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\check-config.bat","frontend_misc","frontend file","review","review manually"
"frontend\dist\assets\index-CAZpHyT1.css","frontend_build","frontend build output","can_delete_regenerate","generated by npm run build"
"frontend\dist\assets\index-vFF_33Lc.js","frontend_build","frontend build output","can_delete_regenerate","generated by npm run build"
"frontend\dist\index.html","frontend_build","frontend build output","can_delete_regenerate","generated by npm run build"
"frontend\dist\vite.svg","frontend_build","frontend build output","can_delete_regenerate","generated by npm run build"
"frontend\Dockerfile","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\eslint.config.js","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\index.html","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\nginx.conf","frontend_misc","frontend file","review","review manually"
"frontend\package-lock.json","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\package.json","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\postcss.config.js","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\public\vite.svg","frontend_asset","frontend asset/script","keep","frontend build/runtime support"
"frontend\README.md","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\README_CONFIG.md","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\scripts\preflight.cjs","frontend_asset","frontend asset/script","keep","frontend build/runtime support"
"frontend\src\App.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\assets\react.svg","frontend_source","frontend source code","keep","active code"
"frontend\src\components\Common\ConfirmDialog.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\components\Common\Layout.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\components\Common\LoadingSpinner.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\components\Common\Navbar.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\components\Common\NoticeBanner.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\config\config.js","frontend_source","frontend source code","keep","active code"
"frontend\src\hooks\usePortfolio.js","frontend_source","frontend source code","keep","active code"
"frontend\src\index.css","frontend_source","frontend source code","keep","active code"
"frontend\src\main.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\AgentPage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\CreatePortfolioPage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\DataAnalysisPage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\EditPortfolioPage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\HomePage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\KnowledgeBasePage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\MarketDataPage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\PortfolioDetailPage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\PortfoliosPage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\StrategyBacktestPage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\pages\StrategyVersionsPage.jsx","frontend_source","frontend source code","keep","active code"
"frontend\src\services\agentAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\analyticsAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\api.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\backtestAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\chatAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\holdingAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\knowledgeBaseAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\marketDataAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\portfolioAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\quoteAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\strategyAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\services\strategyVersionAPI.js","frontend_source","frontend source code","keep","active code"
"frontend\src\store\portfolioStore.js","frontend_source","frontend source code","keep","active code"
"frontend\src\utils\errorMessage.js","frontend_source","frontend source code","keep","active code"
"frontend\src\utils\errorMessage.test.js","frontend_source","frontend source code","keep","active code"
"frontend\src\utils\portfolioValidation.js","frontend_source","frontend source code","keep","active code"
"frontend\src\utils\portfolioValidation.test.js","frontend_source","frontend source code","keep","active code"
"frontend\start-frontend.cmd","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\tailwind.config.js","frontend_config","frontend config/project file","keep","required for frontend project"
"frontend\vite.config.js","frontend_config","frontend config/project file","keep","required for frontend project"
"NUL","invalid_file","invalid placeholder file","can_delete_now","accidental file; not used by app"
"package-lock.json","root_config","root configuration/launcher","keep","project-level config/bootstrap"
"reports\cleanup\cleanup-report.json","analysis_report","cleanup scan output","keep_temporarily","generated report for this cleanup task"
"reports\cleanup\cleanup-report.md","analysis_report","cleanup scan output","keep_temporarily","generated report for this cleanup task"
"reports\cleanup\cleanup_decision_guide.md","analysis_report","cleanup scan output","keep_temporarily","generated report for this cleanup task"
"reports\cleanup\file_inventory_full.csv","analysis_report","cleanup scan output","keep_temporarily","generated report for this cleanup task"
"start-all.bat","root_config","root configuration/launcher","keep","project-level config/bootstrap"
"stocktracker.db","runtime_db","local sqlite database","archive_or_delete","runtime data, can regenerate from flows"
